method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
hierarchical_intelligent_fedavg,3,0.12129629651705424,0.035160808174710775,10.532881100972494,4.413634625984584,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,69.59805882259153,19.985531295032683,48.125,8.638576271585498,97.0,14.165686240583852,69.33333333333334,2.594215788163263,107.0,14.165686240583852,0,0.0,0.4345098039215686,0.033570093425933624,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,4,0.09351852039496104,0.01847216310569544,16.73642571767171,4.8801852098095075,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,81.18800443504487,18.64062451160395,44.625,2.143303524935281,99.0,9.93310961716756,67.94666666666667,2.594215788163265,109.0,9.93310961716756,0,0.0,0.44710168220293584,0.038791243112344616,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,5,0.09629629800717036,0.017322486869230474,35.22264162699381,12.519239447431504,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,100.58698800827324,19.887674410722394,47.0,10.607092752807748,96.66666666666667,13.224556283251582,69.33333333333333,2.5942157881632637,106.66666666666667,13.224556283251582,0,0.0,0.45389303368026773,0.046518361082695275,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,6,0.09629629800717036,0.017322486869230474,59.63565572102865,36.80795533816061,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,103.6797277714716,19.716783078948122,41.666666666666664,3.7767563978748866,96.33333333333333,11.897712198383164,68.64,3.3966257766593433,106.33333333333333,11.897712198383164,0,0.0,0.4533246915980729,0.046652191115293895,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,7,0.09629629800717036,0.017322486869230474,80.08003489176433,47.722202125871334,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,125.80947046331497,23.429843987983773,44.875,4.424128916144586,110.0,6.97614984548545,70.02666666666667,3.922085612981384,120.0,6.97614984548545,0,0.0,0.45516643926773676,0.042045927646564306,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,8,0.09629629800717036,0.017322486869230474,146.64599609375,124.28648280176607,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,124.49559546135318,31.478256696927303,48.291666666666664,11.545351397375867,103.0,16.753109164172084,68.64,2.941564209736042,113.0,16.753109164172084,0,0.0,0.4614211009617708,0.03730450280337456,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_fairness,1,0.19537036617596945,0.060235018510789176,2.2004640897115073,0.030036796396839188,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,62.77635438375642,14.68904386419098,42.333333333333336,3.221563630012951,91.66666666666667,10.873004286866728,70.72,1.6983128883296688,101.66666666666667,10.873004286866728,2,0.0,0.4,0.0,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,2,0.435185174147288,0.07332958775226509,1.7801386912663777,0.09046442192991896,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,72.09495052284943,14.85161243415237,42.958333333333336,3.9387674326988247,84.33333333333333,7.71722460186015,70.72,1.698312888329663,94.33333333333333,7.71722460186015,2,0.0,0.4177777777777778,0.012570787221094181,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,3,0.6138888994852701,0.0536238299331485,1.3500662644704182,0.1370861778306956,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,61.025956964163804,13.35486271717839,45.916666666666664,9.539574006328701,97.0,14.165686240583852,69.33333333333334,2.594215788163263,107.0,14.165686240583852,2,0.0,0.4345098039215686,0.033570093425933624,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,4,0.6759259303410848,0.02143673630196994,1.0748568971951802,0.13264590636444232,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,61.362993237938745,8.147594624008454,44.625,2.143303524935281,99.0,9.93310961716756,67.94666666666667,2.594215788163265,109.0,9.93310961716756,2,0.0,0.44943319404264437,0.037252218605491653,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
